File name,File size,MIME type,Image size,Camera make,Camera model,Image timestamp,Image number,Exposure time,Aperture,Exposure bias,Flash,Flash bias,Focal length,Subject distance,ISO speed,Exposure mode,Metering mode,Macro mode,Image quality,Exif Resolution,White balance,Thumbnail,Copyright,Exif comment
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0001-jmac_DSC1459.dng,5248022 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:01:09 23:03:49,,1/400 s,F10,0 EV,No flash,,20.0 mm (35 mm equivalent: 30.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0002-dgw_005.dng,13293308 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2008:12:23 15:08:12,,1/25 s,F2.8,0 EV,No flash,,50.0 mm (35 mm equivalent: 50.0 mm),,2000,Aperture priority,Center weighted average,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0210-jmac_DSC0830.dng,5390702 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:01:08 23:35:40,,1/160 s,F6.3,0 EV,No flash,,20.0 mm (35 mm equivalent: 30.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0211-IMG_0028.dng,13208934 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:07:18 19:02:11,,1/60 s,F5.6,-1/3 EV,No, compulsory,,68.0 mm,,400,Auto,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0212-IMG_0358.dng,13927466 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:06:21 16:37:20,,1/200 s,F13,0 EV,No, compulsory,,55.0 mm,,200,Aperture priority,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0213-kme_335.dng,5268514 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:07:14 09:39:35,,1/400 s,F8,0 EV,No flash,,56.0 mm (35 mm equivalent: 84.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0214-IMG_1676.dng,9263480 Bytes,image/tiff,3948 x 2622,Canon,Canon EOS DIGITAL REBEL XTi,2008:08:01 20:32:01,,1/8 s,F2.8,+2/3 EV,No, compulsory,,75.0 mm,,800,Aperture priority,Multi-segment,,,3948 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0215-IMG_1442.dng,14018194 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:08:17 18:45:12,,1/60 s,F5.6,0 EV,No, compulsory,,85.0 mm,,200,Auto,Multi-segment,,,4312 x 2876,Auto,None,Lior Shapira,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0216-IMG_4476.dng,12679374 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:08:31 13:43:59,,1/100 s,F5.6,0 EV,No, compulsory,,54.0 mm,,100,Aperture priority,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0217-_DGW6260.dng,11948326 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2009:02:25 14:51:53,,1/125 s,F2.5,0 EV,No flash,,50.0 mm (35 mm equivalent: 50.0 mm),,800,Aperture priority,Center weighted average,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0218-kme_181.dng,11009782 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2008:08:05 15:31:01,,1/400 s,F14,0 EV,No, compulsory,,200.0 mm,,400,Manual,Multi-segment,,,4476 x 2954,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0219-WP_CRW_6890.dng,6038602 Bytes,image/tiff,3152 x 2068,Canon,Canon EOS 10D,2007:06:16 17:23:22,,1/160 s,F8,0 EV,No flash,,40.0 mm,,100,Auto,Multi-segment,,,3152 x 2068,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0220-LS051026_day_1_arive28.dng,15698160 Bytes,image/tiff,5108 x 3349,Canon,Canon EOS-1Ds Mark II,2005:10:27 05:00:25,,1/80 s,F2.8,+1/3 EV,No, compulsory,,50.0 mm,,640,Aperture priority,Multi-segment,,,5108 x 3349,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0221-NKIM_MG_3324.dng,9813676 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2008:07:12 05:19:48,,1/5000 s,F2.8,-2 EV,No, compulsory,,28.0 mm,,400,Aperture priority,Multi-segment,,,3944 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0222-NKIM_MG_2635.dng,7862604 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2006:12:30 11:44:42,,1/6 s,F4,-4/3 EV,No, compulsory,,17.0 mm,,125,Aperture priority,Unknown,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0223-050816_115418__MG_4849.dng,6461286 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2005:08:16 11:54:18,,1/640 s,F11,-5/3 EV,No, compulsory,,200.0 mm,,200,Shutter priority,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0224-IMG_5820.dng,9666658 Bytes,image/tiff,3948 x 2622,Canon,Canon EOS DIGITAL REBEL XTi,2006:10:03 06:33:04,,1/60 s,F5,0 EV,No, compulsory,,85.0 mm,,1600,Aperture priority,Multi-segment,,,3948 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0225-dgw_127.dng,14413720 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2009:02:24 15:48:06,,1/80 s,F4.5,0 EV,No flash,,20.0 mm (35 mm equivalent: 20.0 mm),,250,Auto,Center weighted average,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0226-WP_CRW_4861.dng,5444406 Bytes,image/tiff,3152 x 2068,Canon,Canon EOS DIGITAL REBEL,2006:08:06 12:24:38,,1/60 s,F4,0 EV,Fired,,20.0 mm,,400,Auto,Multi-segment,,,3152 x 2068,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0227-jn_20081025_Kent_Shelter_001.dng,8213544 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 30D,2008:10:25 13:38:12,,1/250 s,F8,+1 EV,Yes, compulsory,,24.0 mm,,3200,Aperture priority,Multi-segment,,,3596 x 2360,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0228-IMG_2688.dng,12027600 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:07:26 16:18:13,,1/160 s,F2.8,0 EV,No, compulsory,,190.0 mm,,200,Aperture priority,Partial,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0229-kme_191.dng,8417448 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2007:09:29 15:09:06,,1/500 s,F5.6,+1/3 EV,No, compulsory,,35.0 mm,,100,Auto,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0230-_DSC0126.dng,4731848 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70s,2007:06:16 17:22:40,,1/500 s,F5.6,0 EV,No flash,,24.0 mm (35 mm equivalent: 36.0 mm),,200,Aperture priority,Multi-segment,,,3040 x 2014,Auto,None,,Copyright(C) Vladimir Bychkovsky
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0231-_DSC1319.dng,8538576 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2008:09:05 08:51:22,,1/5000 s,F3.2,0 EV,No flash,,20.0 mm (35 mm equivalent: 20.0 mm),,200,Manual,Center weighted average,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0232-MB_20030906_040.dng,5772042 Bytes,image/tiff,3152 x 2068,Canon,Canon EOS D60,2003:09:06 12:31:28,,1/45 s,F4.5,+1/2 EV,No flash,,55.0 mm,,100,Shutter priority,Partial,,,3152 x 2068,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0233-jn_2007_12_15__BU_CRUISE_248.dng,6819528 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 30D,2007:12:15 18:51:59,,1/250 s,F7.1,0 EV,Yes, compulsory,,17.0 mm,,400,Aperture priority,Multi-segment,,,3596 x 2360,Auto,None,2007 All Rights Reserved,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0234-JI2E4685.dng,7291138 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS-1D Mark II,2004:09:25 19:43:37,,1/40 s,F4.5,0 EV,Yes, compulsory,,25.0 mm,,1600,Manual,Multi-segment,,,3596 x 2360,Auto,None,,
